id,make,model,trim,type,price,mileage,src,year,image-type
1162,FORD,FUSION,SE,sedan,20500,10225,cdnblob.carvana.io/2000284705/post-large/normalized/cropped/2000284705-edc-02.jpg?v=2019.4.10_4.17.35,2018,original
1163,BMW,4 SERIES,428i XDrive Gran,sedan,28300,25253,cdnblob.carvana.io/2000283810/post-large/normalized/cropped/2000283810-edc-02.jpg?v=2019.4.5_19.47.34,2016,original
1164,CADILLAC,ATS,2.0L Turbo Standard,sedan,18900,29014,cdnblob.carvana.io/2000283979/post-large/normalized/cropped/2000283979-edc-02.jpg?v=2019.4.8_18.36.23,2016,original
1165,NISSAN,ALTIMA,2.5 S,sedan,15500,14928,cdnblob.carvana.io/2000284700/post-large/normalized/cropped/2000284700-edc-02.jpg?v=2019.4.8_14.49.13,2016,original
1166,BMW,3 SERIES,320i,sedan,24100,13911,cdnblob.carvana.io/2000283201/post-large/normalized/cropped/2000283201-edc-02.jpg?v=2019.4.10_4.26.13,2017,original
1167,FORD,FOCUS,SEL,sedan,13500,34912,cdnblob.carvana.io/2000283051/post-large/normalized/cropped/2000283051-edc-02.jpg?v=2019.4.8_18.51.27,2017,original
1168,HONDA,CIVIC,LX,sedan,16400,48856,cdnblob.carvana.io/2000284568/post-large/normalized/cropped/2000284568-edc-02.jpg?v=2019.4.11_5.14.11,2017,original
1169,CADILLAC,ATS-V,ATS-V,sedan,40500,22012,cdnblob.carvana.io/2000281284/post-large/normalized/cropped/2000281284-edc-02.jpg?v=2019.4.4_19.4.17,2016,original
1170,HYUNDAI,SONATA,Sonata,sedan,13300,51587,cdnblob.carvana.io/2000280560/post-large/normalized/cropped/2000280560-edc-02.jpg?v=2019.4.13_13.10.2,2017,original
1171,ACURA,ILX,ILX,sedan,18000,30985,cdnblob.carvana.io/2000278050/post-large/normalized/cropped/2000278050-edc-02.jpg?v=2019.4.9_18.24.35,2016,original
1172,FORD,FOCUS,SE,sedan,16100,5528,cdnblob.carvana.io/2000284829/post-large/normalized/cropped/2000284829-edc-02.jpg?v=2019.4.8_21.47.14,2018,original
1173,CADILLAC,CTS,2.0 Standard,sedan,24800,13074,cdnblob.carvana.io/2000279441/post-large/normalized/cropped/2000279441-edc-02.jpg?v=2019.4.3_13.24.29,2016,original
1174,HONDA,CIVIC,LX,sedan,16300,28620,cdnblob.carvana.io/2000278277/post-large/normalized/cropped/2000278277-edc-02.jpg?v=2019.4.10_16.14.50,2016,original
1175,HYUNDAI,SONATA,Sonata,sedan,14400,48251,cdnblob.carvana.io/2000280328/post-large/normalized/cropped/2000280328-edc-02.jpg?v=2019.4.9_4.28.45,2017,original
1176,MERCEDES-BENZ,C-CLASS,C 300,sedan,23500,33451,cdnblob.carvana.io/2000285107/post-large/normalized/cropped/2000285107-edc-02.jpg?v=2019.4.3_5.5.52,2016,original
1177,MERCEDES-BENZ,C-CLASS,C 300,sedan,23700,31685,cdnblob.carvana.io/2000285006/post-large/normalized/cropped/2000285006-edc-02.jpg?v=2019.4.3_6.58.19,2016,original
1178,TOYOTA,CAMRY,LE,sedan,17100,23605,cdnblob.carvana.io/2000280252/post-large/normalized/cropped/2000280252-edc-02.jpg?v=2019.4.11_14.7.24,2017,original
1179,MERCEDES-BENZ,C-CLASS,C 300,sedan,24100,34585,cdnblob.carvana.io/2000281682/post-large/normalized/cropped/2000281682-edc-02.jpg?v=2019.4.5_16.15.38,2016,original
1180,HONDA,ACCORD,EX-L,sedan,20000,34445,cdnblob.carvana.io/2000280284/post-large/normalized/cropped/2000280284-edc-02.jpg?v=2019.4.5_5.56.17,2016,original
1181,HONDA,CIVIC,EX,sedan,18400,18621,cdnblob.carvana.io/2000278347/post-large/normalized/cropped/2000278347-edc-02.jpg?v=2019.4.5_3.46.25,2016,original
1182,CHRYSLER,300,300S,sedan,20700,35239,cdnblob.carvana.io/2000282932/post-large/normalized/cropped/2000282932-edc-02.jpg?v=2019.4.12_15.21.38,2016,original
1183,INFINITI,Q50,3.0t LUXE,sedan,27500,20213,cdnblob.carvana.io/2000272762/post-large/normalized/cropped/2000272762-edc-02.jpg?v=2019.4.6_11.1.59,2018,original
1184,CHEVROLET,CRUZE,Premier,sedan,15900,18597,cdnblob.carvana.io/2000278560/post-large/normalized/cropped/2000278560-edc-02.jpg?v=2019.4.5_17.59.37,2018,original
1185,MERCEDES-BENZ,CLA,CLA 250,sedan,23400,30508,cdnblob.carvana.io/2000272791/post-large/normalized/cropped/2000272791-edc-02.jpg?v=2019.4.5_15.55.57,2016,original
1186,CHRYSLER,300,300 Limited,sedan,23400,15638,cdnblob.carvana.io/2000280280/post-large/normalized/cropped/2000280280-edc-02.jpg?v=2019.4.3_14.39.42,2018,original
1187,VOLKSWAGEN,PASSAT,2.0T R-Line,sedan,16700,31795,cdnblob.carvana.io/2000283604/post-large/normalized/cropped/2000283604-edc-02.jpg?v=2019.4.6_0.29.11,2018,original
1188,CHRYSLER,200,Limited,sedan,17700,22738,cdnblob.carvana.io/2000283239/post-large/normalized/cropped/2000283239-edc-02.jpg?v=2019.4.3_13.29.49,2017,original
